Qubit,T1 (us),T2 (us),Readout assignment error,Prob meas0 prep1,Prob meas1 prep0,Readout length (ns),ID error,Single-qubit gate length (ns),RX error,Z-axis rotation (rz) error,√x (sx) error,Pauli-X error,CZ error,Gate length (ns),RZZ error,MEASURE error,Operational
48,221.43324831444767,203.2497510380411,0.06884765625,0.05419921875,0.08349609375,2584,0.0027532694064153354,36,0.0027532694064153354,0,0.0027532694064153354,0.0027532694064153354,47:0.009759734725523855;49:0.01005214293739859,47:68;49:68,47:0.0072996817888794086;49:0.007535301838497682,0.06884765625,Yes
49,123.8412284211958,78.15901531919378,0.01318359375,0.01806640625,0.00830078125,2584,0.0005206005806048627,36,0.0005206005806048627,0,0.0005206005806048627,0.0005206005806048627,48:0.01005214293739859;50:0.002925960381710002;38:0.00287781339251697,48:68;50:68;38:68,48:0.007535301838497682;50:0.0031305324429588277;38:0.003270860440714368,0.01318359375,Yes
50,170.57060925796188,135.41170931958712,0.01220703125,0.02001953125,0.00439453125,2584,0.00032102270462407026,36,0.00032102270462407026,0,0.00032102270462407026,0.00032102270462407026,49:0.002925960381710002;51:0.0026703158172944885,49:68;51:68,49:0.0031305324429588277;51:0.001968818419951446,0.01220703125,Yes
51,205.53431664938154,268.9297362835132,0.05908203125,0.07275390625,0.04541015625,2584,0.000529815785776511,36,0.000529815785776511,0,0.000529815785776511,0.000529815785776511,50:0.0026703158172944885;52:0.001965685165631448;58:0.0015044303778755652,50:68;52:68;58:68,50:0.001968818419951446;52:0.001884769903934741,0.05908203125,Yes
52,113.91049009685248,54.452978222433785,0.0087890625,0.01416015625,0.00341796875,2584,0.00031009627156437786,36,0.00031009627156437786,0,0.00031009627156437786,0.00031009627156437786,51:0.001965685165631448;53:0.0020860734931403835,51:68;53:68,51:0.001884769903934741;53:0.002390480430153663,0.0087890625,Yes
53,258.8806340665662,232.53773105853813,0.012939453125,0.01220703125,0.013671875,2584,0.00018073573248160942,36,0.00018073573248160942,0,0.00018073573248160942,0.00018073573248160942,39:0.0023996523561847505;52:0.0020860734931403835;54:0.0015600380897558275,39:68;52:68;54:68,39:0.001816550373321374;52:0.002390480430153663;54:0.0009510532723787934,0.012939453125,Yes
54,147.73472683192458,174.7030350027201,0.00439453125,0.00244140625,0.00634765625,2584,0.00019277587104963613,36,0.00019277587104963613,0,0.00019277587104963613,0.00019277587104963613,53:0.0015600380897558275;55:0.002341173932613294,53:68;55:68,53:0.0009510532723787934;55:0.0018288407639280302,0.00439453125,Yes
55,215.6075050092358,69.08880902083776,0.0185546875,0.02734375,0.009765625,2584,0.00017094893257234482,36,0.00017094893257234482,0,0.00017094893257234482,0.00017094893257234482,59:0.0038408643362997097;54:0.002341173932613294,59:68;54:68,59:0.0033956367019611633;54:0.0018288407639280302,0.0185546875,Yes
56,250.0083372715721,15.080291726037114,0.01416015625,0.0205078125,0.0078125,2584,0.00040271601588011044,36,0.00040271601588011044,0,0.00040271601588011044,0.00040271601588011044,63:0.004658891052526454;43:0.0032567492331425085,63:68;43:68,63:0.0036617991174126285;43:0.001996294822539768,0.01416015625,Yes
57,90.65309585351827,35.66897284836896,0.007568359375,0.013671875,0.00146484375,2584,0.00032036865261161966,36,0.00032036865261161966,0,0.00032036865261161966,0.00032036865261161966,47:0.0016351982790741293;67:0.002780526850437004,47:68;67:68,47:0.0019466109048033864;67:0.003537029186226226,0.007568359375,Yes
58,186.1381762890911,204.00515378933866,0.02099609375,0.02978515625,0.01220703125,2584,0.00020455442782340674,36,0.00020455442782340674,0,0.00020455442782340674,0.00020455442782340674,71:0.0018120807651478832;51:0.0015044303778755652,71:68;51:68,71:0.0035303990278117703,0.02099609375,Yes
59,154.132403487233,121.07958571920254,0.01318359375,0.0126953125,0.013671875,2584,0.0002270082371982451,36,0.0002270082371982451,0,0.0002270082371982451,0.0002270082371982451,55:0.0038408643362997097;75:0.0015734461884482354,55:68;75:68,55:0.0033956367019611633;75:0.001537604572822232,0.01318359375,Yes
60,163.18872105121218,118.75138548320284,0.004150390625,0.00439453125,0.00390625,2584,0.0006891137993064953,36,0.0006891137993064953,0,0.0006891137993064953,0.0006891137993064953,61:0.007056942083609852,61:80,,0.004150390625,Yes
61,168.6470005416813,157.52653482494927,0.0107421875,0.01904296875,0.00244140625,2584,0.0003083488994138581,36,0.0003083488994138581,0,0.0003083488994138581,0.0003083488994138581,76:0.0019024738778075645;60:0.007056942083609852,76:68;60:80;62:68,76:0.002250267905829856,0.0107421875,Yes
62,152.03101171630345,64.60942736149752,0.00927734375,0.013671875,0.0048828125,2584,0.00039251043653825655,36,0.00039251043653825655,0,0.00039251043653825655,0.00039251043653825655,63:0.00433786280748924,61:68;63:68,63:0.0026783418735983056,0.00927734375,Yes
63,180.66036902115627,142.32293161177296,0.019775390625,0.0283203125,0.01123046875,2584,0.0002679823102035582,36,0.0002679823102035582,0,0.0002679823102035582,0.0002679823102035582,56:0.004658891052526454;62:0.00433786280748924;64:0.0031771748428124913,56:68;62:68;64:68,56:0.0036617991174126285;62:0.0026783418735983056;64:0.005737426363146836,0.019775390625,Yes
64,332.3274582469053,136.34595446921628,0.015380859375,0.01904296875,0.01171875,2584,0.0008047548090770979,36,0.0008047548090770979,0,0.0008047548090770979,0.0008047548090770979,65:0.0032364708454076796;63:0.0031771748428124913,65:68;63:68,65:0.008885228240955223;63:0.005737426363146836,0.015380859375,Yes
65,327.46527246775776,73.69694268966806,0.0205078125,0.02294921875,0.01806640625,2584,0.0003916636065536916,36,0.0003916636065536916,0,0.0003916636065536916,0.0003916636065536916,64:0.0032364708454076796;66:0.0039747407964990655;77:0.002655536489882593,64:68;66:68;77:68,64:0.008885228240955223;66:0.0028565215971464164;77:0.0019877173176459095,0.0205078125,Yes
66,128.62442578020756,29.32141649018371,0.008544921875,0.015625,0.00146484375,2584,0.0005331765411749931,36,0.0005331765411749931,0,0.0005331765411749931,0.0005331765411749931,65:0.0039747407964990655;67:0.003880265530488869,65:68;67:68,65:0.0028565215971464164;67:0.002043097613474265,0.008544921875,Yes
67,210.39685959149966,84.58750681069803,0.017333984375,0.02880859375,0.005859375,2584,0.0001668251922945386,36,0.0001668251922945386,0,0.0001668251922945386,0.0001668251922945386,68:0.0037860968300243714;57:0.002780526850437004;66:0.003880265530488869,68:68;57:68;66:68,68:0.007858078112372574;57:0.003537029186226226;66:0.002043097613474265,0.017333984375,Yes
68,104.01770911948012,22.5390284922667,0.0908203125,0.06591796875,0.11572265625,2584,0.0007370753171238351,36,0.0007370753171238351,0,0.0007370753171238351,0.0007370753171238351,67:0.0037860968300243714;69:0.0036313849496764916,67:68;69:68,67:0.007858078112372574;69:0.002370850253762019,0.0908203125,Yes
69,157.74121003616997,43.01583552438162,0.023681640625,0.02734375,0.02001953125,2584,0.00018463779793504372,36,0.00018463779793504372,0,0.00018463779793504372,0.00018463779793504372,78:0.00196374869386301;68:0.0036313849496764916;70:0.001704544861978824,78:68;68:68;70:80,78:0.0025061531935246795;68:0.002370850253762019;70:0.00197602779775935,0.023681640625,Yes
70,166.76934009755703,24.96556118710987,0.0126953125,0.02099609375,0.00439453125,2584,0.00021929138740957977,36,0.00021929138740957977,0,0.00021929138740957977,0.00021929138740957977,69:0.001704544861978824;71:0.0021060562732714005,69:80;71:68,69:0.00197602779775935;71:0.0018130718836344983,0.0126953125,Yes
